['draw_foe.py', '5.avi', 'online']
['second', 'image', 'is', './pgm_sample/5.avi/00000116.pgm', '117\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000117.pgm', '118\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000118.pgm', '119\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000119.pgm', '120\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000120.pgm', '121\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000121.pgm', '122\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000122.pgm', '123\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000123.pgm', '124\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000124.pgm', '125\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000125.pgm', '126\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000126.pgm', '127\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000127.pgm', '128\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000128.pgm', '129\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000129.pgm', '130\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000130.pgm', '131\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000131.pgm', '132\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000132.pgm', '133\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000133.pgm', '134\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000134.pgm', '135\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000135.pgm', '136\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000136.pgm', '137\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000137.pgm', '138\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000138.pgm', '139\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000139.pgm', '140\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000140.pgm', '141\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000141.pgm', '142\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000142.pgm', '143\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000143.pgm', '144\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000144.pgm', '145\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000145.pgm', '146\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000146.pgm', '147\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000147.pgm', '148\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000148.pgm', '149\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000149.pgm', '150\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000150.pgm', '151\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000151.pgm', '152\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000152.pgm', '153\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000153.pgm', '154\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000154.pgm', '155\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000155.pgm', '156\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000156.pgm', '157\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000157.pgm', '158\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000158.pgm', '159\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000159.pgm', '160\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000160.pgm', '161\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000161.pgm', '162\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000162.pgm', '163\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000163.pgm', '164\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000164.pgm', '165\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000165.pgm', '166\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000166.pgm', '167\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000167.pgm', '168\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000168.pgm', '169\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000169.pgm', '170\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000170.pgm', '171\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000171.pgm', '172\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000172.pgm', '173\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000173.pgm', '174\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000174.pgm', '175\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000175.pgm', '176\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000176.pgm', '177\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000177.pgm', '178\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000178.pgm', '179\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000179.pgm', '180\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000180.pgm', '181\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000181.pgm', '182\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000182.pgm', '183\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000183.pgm', '184\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000184.pgm', '185\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000185.pgm', '186\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000186.pgm', '187\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000187.pgm', '188\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000188.pgm', '189\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000189.pgm', '190\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000190.pgm', '191\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000191.pgm', '192\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000192.pgm', '193\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000193.pgm', '194\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000194.pgm', '195\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000195.pgm', '196\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000196.pgm', '197\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000197.pgm', '198\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000198.pgm', '199\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000199.pgm', '200\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000200.pgm', '201\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000201.pgm', '202\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000202.pgm', '203\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000203.pgm', '204\n']
